filename;date;text;poison
JR_051088_4 - MIDIAN.txt;05/10/1888;"5 Oct 1888



Dear Friend



In the name of God hear me I swear I did not kill the female whose body was found at Whitehall, If she was an honest woman I will hunt down and destroy

Her murderer. If she was a whore God will bless the hand that slew her, for the women of of Moab and Midian shall die and their blood shall mingle with the dust. I never harm any others or the Divine power that protects and helps me in my grand work would quit for ever. Do as I do and the light of glory shall shine upon you. I must get to work tomorrow treble event this time  yes yes three must be ripped . will send you a bit of face by post I promise this dear old Boss . The police

now reckon my work a practical joke, well well Jacky's a very practical joker ha ha ha Keep this back till three are wiped out and you can show the cold meat



Yours truly



Jack the Ripper";X
LA_061088.txt;06/10/1888;"Friday Oct 5/10/8



A WARNING



At midnight  A woman will be murdered at the High Level St.



Be on you guard



Leather  Apron";X
WK_061088.txt;06/10/1888;"Dear Sir



I don't think I do enough murders so shall not only do them in Whitechapel but in Brixton, Battersea & Clapham. If I cant get enough women to do I shall cut up men, boys & girls. Just to keep my hand in practice. Ha! ha! You will never find me in Whitechapel. By the discription in the papers 5 ft 7 inches is all wrong. Ha! Ha. I expect to rip up a woman or to on the Common at Clapham Junction one day

turn next week. Ha.ha.ha. I will send you the heart by pacels post.



Ha!Ha!



By By



Dear Sir

Yours when Caught



The Whore Killer";X
JR_071088.txt;07/10/1888;"Oct 7 1888



Dear Boss



Just a few lines to tell you I shall begin my knife operations again on or near Blackfriars Bridge this time I shall Do for three ['of' deleted] more women I shall keep on till ten more is out of the way then I shall give myself up I am now lodging in a lodging house and my name & address you will have to find out.



Yours truly



Jack The Ripper";
LAJR_071088.txt;07/10/1888;"Saturday 7/8/8/8



Dear Old Boss



You see I have some Black blood instead of Red [ ] know I did not have a chance to do what I intended on Saturday night Else there would have been another horrible murder in the East End I will give my self up 8 o'clock @ Peckham Station

Monday I am wearing a lights'uit With love to all



{Leather Apron}

{Jack the Ripper}";
JR_081088.txt;08/10/1888;"6 Oct 1888



You though your-self very clever I reckon when you informed the police But you made a mistake, if you though I dident see you now I know you know me and I see your little game, and I mean to finish you and send your ears to your wife if you show this to the police or help them if you do I will finish you. It no use your trying to get out of my way Because I have you when you don't expect it and I keep my word as you soon see and rip you up



Yours truly Jack the Ripper



[vertically down left side] You see I know your address";
JR_081088_2.txt;08/10/1888;"Berner Street

E.

Oct. 9th. '88.



To Sir C. Warren,



Another dreadful murder will be committed by me tomorrow morning.



Jack the Ripper";X
JR_081088_3.txt;08/10/1888;"[Red ink smudge, drawings of crossed daggers, skull and crossbones with halo, coffin and skeleton in black ink]



I am as you see by this note amongst the slogging town of Brum and mean to play my part well & vigorously amongst its inhabitants I have already spotted from its number 3 girls and before one week is passed after receiving this 3 Families will be thrown into a state of delightful mourning. Ha. Ha. My Bloody whim must have its way do not be surprised 15 murders must be completed then I kill myself to cheat the scaffold. For I know you cannot catch me & may I be even present in your dreams



Jack the Ripper";X
JR_081088_4.txt;08/10/1888;"Dear Boss I am now in the Kentish Town district and you will here of me on friday with my funey little games. Now if you think you can catch me by the writing in the first letter I wrote. You cant, because I can write two or three hands of writing

Yours Truly

Jack the ripper. Trade";X
JR_081088_5.txt;08/10/1888;"Charles Warren



Sir



I have pleasure in telling you that I am the man that has committed the disturbance in London by killing everybody I mean to committ two more to-night and then I will try the police i am living in Calcutta



Yours



Jack the Ripper";X
JR_081088_6.txt;08/10/1888;"Whitechapel



8 October 1888



Dear Boss



Although you have not yet succeeded in catching me I presume you 'live in ope'



I have not yet settled my account with whores & mean to do the dozen I originally stated -



Yours with love



Jack the Ripper



C. Warren Esq";
RI_081088.txt;08/10/1888;"8/10/88

Galayshiels



Dear Boss,



I have to thank you and my Brother in trade, Jack the Ripper for your kindness in letting me away out of Whitechapel I am on my road to the tweed Factories I will let the Innerleithen Constable or Police men know when I am about to start my nice Little games. I have got my knife Replenished so it will answer both for Ladies and Gents Other 5 Tweed ones and I have one my wager



I am Yours



Truly



The Ripper";
JR_091088.txt;09/10/1888;"Oct. 10/10



Dear Boss



You will be surprised to heare that you had little Jacky In your Pub the other night, What fun to think the Police were Wating for me at the East End Which I was Injoying my Little Self good by you Bet I will see you beffor long



I am



Your Truly



Jack the Ripper";
JR_091088_2.txt;09/10/1888;"No Street



Whitechapel



Dear boss



I am going to do another job right under the very nose of the damed old Charley Warren You have had me once but like fools let me go Jack the Ripper";
JR_091088_3.txt;09/10/1888;"Oct. 9th Brick Lane



Dear Boss,



Very quiet lately, been sharpen-ing my knife, you will hear of me next Saturday night with my funny game's again at Silvertown or very likely before, no doubt on Friday night, I mean to Rip up two girls that work at Silver's, I have watched them this last week, curse the ink

its Fell over it has gone pale. You have not caught me yet. I have been in Whitechapel all the while. You can offer all the reward you like but you wont catch me next two girls I will fetch their Hearts to the Police Station and lay them on the step of Leman Street Station.



No doubt you have been on the watch for me



No more at present



Jack the Ripper";X
JR_091088_4.txt;09/10/1888;"To the Central Police Authorities London



Dear Boss



I am sure you find me if you look for me as I have been hiding my self in a quarry I am going to the 6 bares to a tree in a country place & there rip them up



Yours truly



Jack the Ripper";
BB_101088.txt;10/10/1888;"Old Boss



The Ripper will soon be on the trak agin, nose and ears he wants next as present for Boss. Wen he gets em will be able to unite in blood, aha aha, blood blood blood,



Yours



Bill the Boweler.";
JR_101088.txt;10/10/1888;"Jack the Ripper



Sir



you had better be carefull How you send those Bloodhounds about the streets because of the single

females wearing stained napkins  women smell very strong when they are unwell";
JR_101088_2.txt;10/10/1888;"HAVE YOU SEEN THE ""DEVIL"" [Cutting]



Hampstead



Oct 10/10/88



If not Pay one Penny & Walk in-side



Dear Boss I am Waiting every evening for the coppers at Hampstead heath you will find tow or three of them goone before this week is ended I am lodging in Scratchem Park now the number I shall not tell you I mean Litchin st

I Remain yours Jack the Ripper



Hampstead



Oct 10/10/88



Dear Boss



I am waiting";
JR_101088_3.txt;10/10/1888;"Dear Boss (you are the biggest fool in London I am in Lester now for a holiday What a dance I am leading all those fools about London why I am Passing them by dozens against Scotland yard way & don't I laugh & say Damd fools you work them too hard Poor fellows but I say good joke about those things being a Hoax ha!ha!ha! please look out for me in London again between now &

next wednesday Jack the Ripper";X
JR_101088_4.txt;10/10/1888;"Oct 9.



double event to night will give up Kings X met 12 o'clock on Oct 10



Jack the ripper";X
JR_101088_5.txt;10/10/1888;"Edinburgh



10/10/88.



Dear Boss



You will be wondering why I have been so quiet. Fact is I was nearly caught. over the last job Will start again next week mean to be hard on the Fairies.



Jack the Ripper";X
JR_121088.txt;12/10/1888;"Friday 88



Dr Boss



I hear you have bloodhounds for me now But I will deceive them & you dogs too & I am sertain that I shall do one to night In C.R which you will have to find out [drawing of knife] what that means



I remain



Yours



J the R



[Large drawing of knife]";X
JR_131088.txt;13/10/1888;"Narrow marsh



Nottingham



[I] is at Nottingham now if you wants me shall begin business on Monday Jack the Ripper but one who did Wightechapel";X
JR_131088_2.txt;13/10/1888;"59- Place

Whitechapel



Jack Porns.



This is to give you notice that I intend to rip your little fat belly up next week. A man so infernally conceited, and such a liar as you are deserves no mercy at the hands of



Jack the Ripper



[Small pencil drawing of skull and crossbones over a coffin]";X
ME_131088.txt;13/10/1888;"Sirs, I am sorry that such a letter should be sent to you, viz, the one signed Jack the Ripper . . . I can assure you it is nothing to do with us whatever . . . I caution persons playing such tricks ... to beware of their Bodies for `it's' no joke . . .



I am yours truly.



Mr Englishman



Colchester Oct. 13. 1888.



1213. Shall not return to the E. end trust Sir C. Warren to make such a fuss . . . . . . . . .";
MJ_141088.txt;14/10/1888;"13th of Oct



Sirs



Do you think that you can catch me and my pals if so say it at once and when you have said what you have to say why then we can lofe about, had to jump up just now, thought you had, next time I do any thing it will be at the town in which I write this letter I remain yours murderyfied J.J. Thompson alias J. the Rippers Nephewx



PS Excuse bad writing J.J.T.";
AR_151088.txt;15/10/1888;"Hotel. Bristol



Old Pal



I am one of Jacks foremen. I am in Bristol at present and mark me if there is not 3 murders done in Bristol within a week from now then I'll betray the whole gang.



Until then



Good Bye, A.R.M.";X
JR_151088.txt;15/10/1888;"Leeds Oct 15th



Gents yes I have made six successful attempts I shall make the next in Leeds in the Leylands to night I shall protect all honest women & all the fat ones I shall meet the first I shall send to you From



JR



P.S. my pal shall be in the west end to night at your place.";x
JR_151088_2.txt;15/10/1888;"Sunday Oct. 14, 1888



Mr, Smith, A few line to you to let you know that you will soon meet your death, I have been watching you lately and I know you must have money by you, therefore, I Jack the Ripper will come and serve you the same as I did the other whores in Whitechapel I shall come quite unexpecet, and I shant give you time to sqeal for my knife is nice and sharp yours truly Jack the Ripper [drawing of knife 'the knife' on handle]";x
JR_151088_3.txt;15/10/1888;"Lodging

London



Dear Boss



I was passing the Houses of Parliament the other day & every po-lice-man I did come across look at me expeccially number 1.a I was going to do another murder at York street Lambeth Friday I am going up to Palmerston Rd to do 3 murders I am going to take my Knife with me it is nice & sharp & it will kill 10 more mid-ages women & 8 children the oldest shall be 18 I have not told you at what number I am going to committee those 9 murders but it is near the Baths because I can

throw them in the water



Jack Ripper



PS



Excuse bad writing because bad wood";x
